ID,Год,Тип,Название,URL турнира,URL результатов,Записей
3150,1998,old,IV Бриджевый фестиваль А-Приз. Командный турнир,https://bridgesport.ru/tournaments/results/3150/,https://bridgesport.ru/local/_ajax/resultNew.php?id=3150,30
3204,1998,old,IV Бриджевый фестиваль А-Приз. Парный конгресс,https://bridgesport.ru/tournaments/results/3204/,https://bridgesport.ru/local/_ajax/resultNew.php?id=3204,58
530,1998,old,I Индивидуальный чемпионат России,https://bridgesport.ru/tournaments/results/530/,https://bridgesport.ru/local/_ajax/resultNew.php?id=530,36
1709,1998,old,I Микстовый парный чемпионат Москвы,https://bridgesport.ru/tournaments/results/1709/,https://bridgesport.ru/local/_ajax/resultNew.php?id=1709,12
3147,1998,old,V Кубок РиО,https://bridgesport.ru/tournaments/results/3147/,https://bridgesport.ru/local/_ajax/resultNew.php?id=3147,36
5124,1999,old,VII Парный чемпионат России,https://bridgesport.ru/tournaments/results/5124/,https://bridgesport.ru/local/_ajax/resultNew.php?id=5124,0
48,1999,old,VI Мемориал А. Симакова,https://bridgesport.ru/tournaments/results/48/,https://bridgesport.ru/local/_ajax/resultNew.php?id=48,57
47,1999,old,Командный чемпионат Москвы 1998-1999,https://bridgesport.ru/tournaments/results/47/,https://bridgesport.ru/local/_ajax/resultNew.php?id=47,35
5112,1999,old,IV Микстовый парный и командный чемпионат России,https://bridgesport.ru/tournaments/results/5112/,https://bridgesport.ru/local/_ajax/resultNew.php?id=5112,0
3156,1999,old,II Кубок Урала. Командный турнир,https://bridgesport.ru/tournaments/results/3156/,https://bridgesport.ru/local/_ajax/resultNew.php?id=3156,4
44,1999,old,VII Мемориал Д.Рыбакова,https://bridgesport.ru/tournaments/results/44/,https://bridgesport.ru/local/_ajax/resultNew.php?id=44,55
3206,1999,old,II Кубок Урала. Парный конгресс,https://bridgesport.ru/tournaments/results/3206/,https://bridgesport.ru/local/_ajax/resultNew.php?id=3206,38
43,1999,old,Чемпионат вузов,https://bridgesport.ru/tournaments/results/43/,https://bridgesport.ru/local/_ajax/resultNew.php?id=43,15
42,1999,old,Vilnus Cup 1999. Open Teams,https://bridgesport.ru/tournaments/results/42/,https://bridgesport.ru/local/_ajax/resultNew.php?id=42,4
41,1999,old,VII Командный чемпионат России,https://bridgesport.ru/tournaments/results/41/,https://bridgesport.ru/local/_ajax/resultNew.php?id=41,12
797,1999,old,I Юниорский чемпионат России,https://bridgesport.ru/tournaments/results/797/,https://bridgesport.ru/local/_ajax/resultNew.php?id=797,18
22,1999,old,Бархатный Сезон в Одессе 1999. Командный турнир,https://bridgesport.ru/tournaments/results/22/,https://bridgesport.ru/local/_ajax/resultNew.php?id=22,1
5149,1999,old,"Фестиваль ""Бридж-Ревю""",https://bridgesport.ru/tournaments/results/5149/,https://bridgesport.ru/local/_ajax/resultNew.php?id=5149,0
37,1999,old,"VII турнир ""Kovaldi Invitational""",https://bridgesport.ru/tournaments/results/37/,https://bridgesport.ru/local/_ajax/resultNew.php?id=37,16
36,1999,old,Biarritz Open,https://bridgesport.ru/tournaments/results/36/,https://bridgesport.ru/local/_ajax/resultNew.php?id=36,2
33,1999,old,Biarritz Akkor,https://bridgesport.ru/tournaments/results/33/,https://bridgesport.ru/local/_ajax/resultNew.php?id=33,2
32,1999,old,"VIII Фестиваль""Белые ночи"". Командный турнир",https://bridgesport.ru/tournaments/results/32/,https://bridgesport.ru/local/_ajax/resultNew.php?id=32,25
